ticker,model,status,error,MAE,MSE,RMSE,MAPE,R2,RMSE_H1,MAPE_H1,MAE_H1,RMSE_H3,MAPE_H3,MAE_H3,RMSE_H7,MAPE_H7,MAE_H7,RMSE_H14,MAPE_H14,MAE_H14,RMSE_H30,MAPE_H30,MAE_H30,RMSE_H60,MAPE_H60,MAE_H60
NVDA,LSTM,success,,2.3731697374598117,12.114405551637109,3.4805754627126113,2.3035539132770144,0.9944717501195901,3.4805754627126113,2.3035539132770144,2.3731697374598117,5.730658434625653,3.9994868792154907,4.089975956280394,8.317303345530084,6.227056129651115,6.322770278686227,11.199028292414654,8.610189940518467,8.727001722413107,16.47322524992298,11.983464206454537,13.042708146625138,23.155177839400302,16.362186835319232,18.53510868568721
NVDA,LSTM-GRU,success,,2.318246479880636,11.588823097471833,3.40423605196112,2.250390824199199,0.9947115927703086,3.40423605196112,2.250390824199199,2.318246479880636,5.747175010550882,3.991812213840716,4.0836477705652126,8.270493849021053,6.17552613158333,6.202065043995142,11.109634234486816,8.540056074883985,8.64272688785202,16.48379010265263,12.012178379202723,13.073402498676765,23.31545551050094,16.328579897291874,18.52731988090232
NVDA,RNN,success,,2.4556397247377286,12.235740005384976,3.4979622647171276,2.3883071122140342,0.9944163807350535,3.4979622647171276,2.3883071122140342,2.4556397247377286,5.752409308189559,3.955671435394323,4.047472273575721,8.443448187729553,6.227831825404996,6.306787685907695,11.194835165496317,8.57686917882694,8.68691886233864,16.47038666113609,11.932442652037063,12.983309073509615,23.385375691212374,16.368109814552025,18.577144195404358
SAP,ANN,success,,2.5306292743358423,13.056128990984648,3.613326582387018,1.182617496416659,0.9961587684323182,3.613326582387018,1.182617496416659,2.5306292743358423,6.343387299898862,2.1674207675905737,4.658550589725759,8.92664082809297,3.137437257471485,6.742937333403327,12.672785152101167,4.445467686089658,9.65159597919069,18.149212469398535,6.4298350506697215,14.184506986961624,25.505561093819303,9.513518221056307,21.41868843821425
SAP,BiLSTM,success,,2.551196772505265,13.454163307473783,3.6679917267455475,1.1880213860213278,0.9960416631262529,3.6679917267455475,1.1880213860213278,2.551196772505265,6.46486665686297,2.2347577021413776,4.789328474714191,8.945240348964225,3.173167909459692,6.777890499746331,12.51334670815001,4.405586570329344,9.53156263046437,18.521024105147088,6.594222808019221,14.613572798472637,27.363306778589102,9.86077111835337,22.36994694692132
SAP,LSTM,success,,2.610564637555565,13.923047229430095,3.7313599704973646,1.2093525015148252,0.9959037132236561,3.7313599704973646,1.2093525015148252,2.610564637555565,6.402824441831063,2.1854653253804415,4.694301651786979,8.754095686822396,3.101973493153873,6.647822129590286,12.448938476690007,4.39990952836212,9.518911126791352,18.16386703163364,6.422387878665882,14.198580792009865,26.22813789038865,9.48642532079666,21.46574154129119
SAP,LSTM-GRU,success,,2.5700210427862564,13.141576376312404,3.6251312219438905,1.1980684731209739,0.9961336290365507,3.6251312219438905,1.1980684731209739,2.5700210427862564,6.3113438538301425,2.136912237650983,4.587753138752285,8.840638499697157,3.1384980781245346,6.737811383759539,12.126985560415378,4.297750040896103,9.318547018778995,17.74876670322181,6.355868411340741,13.990871304976968,25.760050769302186,9.332507993278814,21.0219098218067
SAP,RNN,success,,2.8538381701706044,15.497021025654254,3.936625588705923,1.3384109908345192,0.9954406358569317,3.936625588705923,1.3384109908345192,2.8538381701706044,6.5202096927811155,2.2557080003277004,4.81647333267817,8.991280696961475,3.1653738990506635,6.814169274747154,12.59145130945412,4.396188078844261,9.565622112530288,18.257415602206937,6.474796172705035,14.299245133023918,25.454456592769677,9.384674067603372,21.166309225878496
TSLA,ANN,success,,7.61598059818609,113.28564296936258,10.643572847937978,2.792052839115442,0.9814356964559425,10.643572847937978,2.792052839115442,7.61598059818609,18.236030769725463,4.988060328638627,13.448124540053971,27.20884293801653,7.673050282055422,20.662628624343633,40.884494792161775,11.327806546601112,30.973444095309475,61.10731849473038,16.59428869448727,46.245316478287045,81.8725092308638,22.60112662921584,62.22203947627393
TSLA,BiLSTM,success,,7.587875004727207,112.92423247168735,10.62658141039193,2.7783271827043285,0.9814949213851303,10.62658141039193,2.7783271827043285,7.587875004727207,18.340783654878233,4.985794502233667,13.494724506991208,28.12945233835998,7.923456506358361,21.34450856244501,41.874219461703426,11.76332739145858,32.088086226406425,64.04232299543737,17.002648005993358,47.67916764684133,86.79441941793215,22.547505616074904,63.3077500287358
TSLA,LSTM,success,,7.69481802161953,114.96154843616169,10.72201233146846,2.826148597494031,0.9811610630868648,10.72201233146846,2.826148597494031,7.69481802161953,18.312163336678513,5.0566003183510055,13.563241284192697,27.149884226067613,7.711069330023988,20.72259236536604,40.260624730752156,11.303142333058357,30.818763938466844,60.61348250843967,16.44569098527895,45.609913208881466,85.35682447021723,22.625165650821547,63.36765208647134
TSLA,LSTM-GRU,success,,7.697313073430053,114.97783568365779,10.72277182838737,2.821545947611221,0.9811583940689868,10.72277182838737,2.821545947611221,7.697313073430053,18.1560517294069,4.960668425646977,13.365876090260732,27.148085227431853,7.70546939163003,20.700451839984755,40.41806527464466,11.293622639036347,30.793864372135477,60.85216177454341,16.06597404008265,45.32316698421995,84.13917154785112,22.25733648007133,62.4956610075396
TSLA,RNN,success,,7.802550162306478,118.1499874195802,10.86968202936867,2.8511677052644107,0.9806385683773111,10.86968202936867,2.8511677052644107,7.802550162306478,18.425357440687673,5.088895724386852,13.698962958206664,27.082076448633494,7.648459373194042,20.557413953695352,40.52913113023602,11.331877459233665,30.892944572709872,60.71618390192715,16.6431462765995,46.22598657205899,82.74798641804941,22.722473623212,63.01502265271794
TSM,ANN,success,,2.9266654335403612,18.158035231479058,4.261224616407713,1.7687332506298559,0.9943715498213833,4.261224616407713,1.7687332506298559,2.9266654335403612,6.938069222420007,3.137287071310429,5.121390177033187,9.441664098209241,4.4717637788907885,7.232681999801389,13.731975665940112,6.452586550864766,10.66081883811142,21.003911742691283,9.613351230216136,16.36597845950541,29.847705795466698,13.506108827562338,23.806491314334732
TSM,BiLSTM,success,,3.0112567513857096,19.11334787510883,4.371881502866795,1.8123174490099554,0.994075431350903,4.371881502866795,1.8123174490099554,3.0112567513857096,7.07888799752101,3.1830007824978406,5.24722120750227,9.53000404067272,4.484162632369893,7.247505574077455,13.55611748152328,6.3884732672712214,10.473408652530939,20.337484173442085,9.559123765874594,15.9611544980088,27.230548845377225,12.639989908462521,21.070865366771944
TSM,LSTM,success,,2.996869541324551,18.62305881902399,4.315444220358315,1.8121191613101366,0.9942274063575662,4.315444220358315,1.8121191613101366,2.996869541324551,6.812833115350989,3.1319170602663955,5.088105817350316,9.653357437071941,4.559166262700646,7.419133737022281,13.775137270611552,6.508068287940811,10.776483576711934,20.996833279124267,9.614900477678288,16.360498547315714,27.524964083452527,12.576941972064132,21.643520217892874
TSM,LSTM-GRU,success,,3.22662255859278,21.211673285729386,4.605613236663429,1.9321618022923166,0.9934250129613776,4.605613236663429,1.9321618022923166,3.22662255859278,6.859461967968083,3.103586058503366,5.071777543155031,9.680887783874976,4.556490538239556,7.41545067255254,14.265679357225842,6.6454334359581,11.095579394522206,21.485063431694403,9.772267600465172,16.715956319658197,27.635178985898424,12.666180050115845,21.536874736982792
TSM,RNN,success,,2.9541701416245916,18.37098626438147,4.286138852671653,1.786011860262147,0.9943055413428283,4.286138852671653,1.786011860262147,2.9541701416245916,6.738955678507781,3.091463224990125,5.016030434813644,9.56412100661539,4.524002469301734,7.29018995919876,13.611190478457345,6.441398336983105,10.581573997390329,21.151827593127333,9.676109691711442,16.48700552636217,29.28918778496604,13.279422421024604,23.263324119525326
